entity_1,relationship,entity_2
Ayatollah Ebrahimi,Acting for or on behalf of,Ansar Bank
Iranian Atlas Company,Owned or Controlled By,Ansar Bank
Ansar Bank Brokerage Company,Owned or Controlled By,Ansar Bank
Ansar Information Technology Company,Owned or Controlled By,Ansar Bank
Ansar Exchange,Owned or Controlled By,Ansar Bank
Ansar Exchange,Providing support to,Islamic Revolutionary Guard Corps
Ansar Exchange,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Alireza Atabaki,Acting for or on behalf of,Ansar Exchange
Zagros Pardis Kish,Owned or Controlled By,Alireza Atabaki
Zagros Pardis Kish,Providing support to,Ministry Of Defense And Armed Forces Logistics
Makki Kazim 'Abd Al-Hamid Al-Asadi,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
South Wealth Resources Company,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Amir Ali Hajizadeh,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Mohammad Pakpour,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Ali Ozma'I,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Mansur Ravankar,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Yadollah Badin,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Abbas Gholamshahi,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Ramezan Zirahi,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Shibl Muhsin 'Ubayd Al-Zaydi,Providing support to,Hizballah
Shibl Muhsin 'Ubayd Al-Zaydi,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Zaynabiyoun Brigade,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Fatemiyoun Division,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Global Vision Group,Owned or Controlled By,Mhd Amer Alchwiki
Global Vision Group,Providing support to,Banias Refinery Company
Mhd Amer Alchwiki,Acting for or on behalf of,Global Vision Group
Mhd Amer Alchwiki,Providing support to,Hizballah
Mhd Amer Alchwiki,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Rasoul Sajjad,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Hossein Yaghoubi Miab,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Hasan Saburinezhad,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Al Khamael Maritime Services,Owned or Controlled By,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Sayyed Yaser Musavir,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Reconstruction Organization Of Holy Shrines In Iraq,Owned or Controlled By,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Hassan Pelarak,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Alireza Fadakar,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Masoud Shoushtaripousti,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Mehdi Ghasemzadeh,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Bahjat Al Kawthar Company For Construction And Trading Ltd.,Owned or Controlled By,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
National Development Fund Of Iran,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
National Development Fund Of Iran,Providing support to,Ministry Of Defense And Armed Forces Logistics
Gholamreza Soleimani,Acting for or on behalf of,Basij Resistance Force
Muhammad Sa'Id Izadi,Providing support to,Hamas
Muhammad Sa'Id Izadi,Leader or official of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Mohammad Ebrahim Owhadi,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Mohammad Ebrahim Owhadi,Providing support to,Taliban
Sayyed Mohammad Ali Haddadnezhad Tehrani,Acting for or on behalf of,Islamic Revolutionary Guard Corps Research And Self-Sufficiency Jehad Organization
Mehdi Azarpisheh,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Javad Bordbar Shir Amin,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Mahmud Bagheri Kazemabad,Acting for or on behalf of,Islamic Revolutionary Guard Corps Al-Ghadir Missile Command
Mohammad Agha Ja'Fari,Acting for or on behalf of,Islamic Revolutionary Guard Corps Al-Ghadir Missile Command
Mas'Ud Nikbakht,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Sa'Id Najafpur,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Mohammad Hasan Khoda'I,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Meghdad Amini,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Mohammadreza Khedmati Valadzaghard,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Foad Salehi,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Foad Salehi,Providing support to,Mohammadreza Khedmati Valadzaghard
Jahan Aras Kish,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Jahan Aras Kish,Owned or Controlled By,Sa'Id Najafpur
Rashed Exchange,Owned or Controlled By,Mohammadreza Khedmati Valadzaghard
Joint Partnership Of Mohammadreza Khedmati And Associates,Owned or Controlled By,Mohammad Hasan Khoda'I
Joint Partnership Of Mohammadreza Khedmati And Associates,Owned or Controlled By,Mohammadreza Khedmati Valadzaghard
Aras Habib Kareem,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Al-Bilad Islamic Bank For Investment And Finance P.S.C.,Owned or Controlled By,Aras Habib Kareem
Azim Monzavi,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Afkar System Yazd Company,Owned or Controlled By,Ahmad Khatibi Aghada
Yousef Ali Muraj,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Iraj Masjedi,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Hasan Irlu,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Abdollah Mehrabi,Acting for or on behalf of,Islamic Revolutionary Guard Corps Aerospace Force Self Sufficiency Jihad Organization
Saeed Aghajani,Acting for or on behalf of,Islamic Revolutionary Guard Corps Air Force
Basij Resistance Force,Owned or Controlled By,Islamic Revolutionary Guard Corps
Basij Resistance Force,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Mehr-E Eqtesad-E Iranian Investment Company,Owned or Controlled By,Mehr Eqtesad Bank
Parviz Fattah,Acting for or on behalf of,Islamic Revolution Mostazafan Foundation
Ansar Bank,Owned or Controlled By,Islamic Revolutionary Guard Corps
Ansar Bank,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Rostam Qasemi,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Rostam Qasemi,Acting for or on behalf of,Qasem Soleimani
Bank Markazi Jomhouri Islami Iran,Providing support to,Hizballah
Bank Markazi Jomhouri Islami Iran,Providing support to,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Hossein Nejat,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Yadollah Javani,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Esma'Il Razavi,Acting for or on behalf of,Islamic Revolutionary Guard Corps (IRGC)-Qods Force
Esma'Il Razavi,Providing support to,Taliban
Ahmad Shafahi,Acting for or on behalf of,Islamic Revolutionary Guard Corps
Abbas Nilforushan,Acting for or on behalf of,Islamic Revolutionary Guard Corps
