,entity_1,relationship,entity_2
0,Ayatollah Ebrahimi,Acting for or on behalf of,ANSAR BANK
1,Iranian Atlas Company,Owned or Controlled By,ANSAR BANK
2,Ansar Bank Brokerage Company,Owned or Controlled By,ANSAR BANK
3,Ansar Information Technology Company,Owned or Controlled By,ANSAR BANK
4,Ansar Exchange,Owned or Controlled By,ANSAR BANK
5,Ansar Exchange,Providing support to,ISLAMIC REVOLUTIONARY GUARD CORPS
6,Ansar Exchange,Providing support to,ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE
7,Alireza Atabaki,Acting for or on behalf of,ANSAR EXCHANGE
8,Zagros Pardis Kish,Owned or Controlled By,"ATABAKI, Alireza"
9,Zagros Pardis Kish,Providing support to,MINISTRY OF DEFENSE AND ARMED FORCES LOGISTICS
10,Makki Kazim 'Abd Al-Hamid Al-Asadi,Providing support to,ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE
11,South Wealth Resources Company,Providing support to,ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE
12,Amir Ali Hajizadeh,Acting for or on behalf of,ISLAMIC REVOLUTIONARY GUARD CORPS
13,Mohammad Pakpour,Acting for or on behalf of,ISLAMIC REVOLUTIONARY GUARD CORPS
14,Ali Ozma'i,Acting for or on behalf of,ISLAMIC REVOLUTIONARY GUARD CORPS
15,Mansur Ravankar,Acting for or on behalf of,ISLAMIC REVOLUTIONARY GUARD CORPS
16,Yadollah Badin,Acting for or on behalf of,ISLAMIC REVOLUTIONARY GUARD CORPS
17,Abbas Gholamshahi,Acting for or on behalf of,ISLAMIC REVOLUTIONARY GUARD CORPS
18,Ramezan Zirahi,Acting for or on behalf of,ISLAMIC REVOLUTIONARY GUARD CORPS
19,Shibl Muhsin 'Ubayd Al-Zaydi,Providing support to,HIZBALLAH
20,Shibl Muhsin 'Ubayd Al-Zaydi,Acting for or on behalf of,ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE
21,Zaynabiyoun Brigade,Providing support to,ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE
22,Fatemiyoun Division,Providing support to,ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE
23,Global Vision Group,Owned or Controlled By,"ALCHWIKI, Mhd Amer"
24,Global Vision Group,Providing support to,BANIAS REFINERY COMPANY
25,Mhd Amer ALCHWIKI,Acting for or on behalf of,GLOBAL VISION GROUP
26,Mhd Amer ALCHWIKI,Providing support to,HIZBALLAH
27,Mhd Amer ALCHWIKI,Providing support to,ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE
28,Rasoul Sajjad,Acting for or on behalf of,ISLAMIC REVOLUTIONARY GUARD CORPS (IRGC)-QODS FORCE
